trip_id,route_id,service_id,direction_id
10900,11277,Regular,0
10906,11277,Regular,0
43021,12411,Regular,1
11084,16734,Regular,0
52831,24065,Regular,0
88123,24197,Regular,0
5023,23210,Regular,0
10193,16223,Regular,0
115855,23821,Regular,0
44370,16223,Regular,0
119482,23708,Regular,0
119484,23708,Regular,0
29975,23937,Regular,0
102088,20536,Regular,0
8828,13171,Regular,1
10904,11277,Regular,0
10804,11277,Regular,0
70844,13256,Regular,1
111854,16168,Regular,1
10802,11277,Regular,0
79193,24066,Regular,1
119486,23708,Regular,0
120226,23885,Regular,1
111853,16166,Regular,0
10836,11277,Regular,0
92038,24065,Regular,0
44430,24065,Regular,0
67644,24052,Regular,1
89327,10145,Regular,0
92980,20088,Regular,0
120227,23886,Regular,0
86770,24042,Regular,0
90195,22169,Regular,1
66926,23447,Regular,0
5876,23448,Regular,0
119488,23708,Regular,0
4404,24065,Regular,0
43476,18309,Regular,0
87784,24010,Regular,1
120229,23886,Regular,0
72677,24135,Regular,1
99495,24058,Regular,0
101678,23821,Regular,0
36092,24052,Regular,1
92127,24025,Regular,0
53576,17488,Regular,1
31901,22800,Regular,1
64310,12597,Regular,1
60742,24065,Regular,0
60734,24065,Regular,0
120231,23597,Regular,0
118940,24022,Regular,0
78519,18001,Regular,0
118944,24022,Regular,0
92118,24025,Regular,0
70393,16239,Regular,0
11068,16734,Regular,0
15459,22701,Regular,1
28954,12732,Regular,1
92079,24066,Regular,1
92071,24066,Regular,1
111872,16168,Regular,1
52862,24066,Regular,1
42989,12411,Regular,1
111871,16166,Regular,0
11584,24106,Regular,1
119380,24210,Regular,0
64608,23401,Regular,0
119382,21594,Regular,0
20503,13218,Regular,1
93289,19590,Regular,0
110290,22588,Regular,0
59875,24066,Regular,1
92088,24066,Regular,1
88164,24066,Regular,1
44427,24066,Regular,1
44397,24066,Regular,1
30003,17096,Regular,1
119384,22870,Regular,0
90993,24197,Regular,0
100859,23974,Regular,0
44795,13034,Regular,0
10981,21800,Regular,1
51782,18744,Regular,0
44391,24066,Regular,1
44393,24066,Regular,1
44403,24066,Regular,1
4247,24052,Regular,1
53968,11725,Regular,1
88173,24065,Regular,0
92076,24065,Regular,0
42864,12422,Regular,1
112073,21848,Regular,0
101039,23974,Regular,0
36107,24052,Regular,1
44928,24052,Regular,1
44926,24052,Regular,1
116737,24079,Regular,0
53972,11727,Regular,1
53967,11713,Regular,0
111889,16166,Regular,0
114571,22582,Regular,1
29419,23775,Regular,0
108713,24080,Regular,1
108715,24080,Regular,1
75198,18365,Regular,0
23771,19263,Regular,1
111907,16166,Regular,0
29078,12884,Regular,0
43073,12411,Regular,1
42862,12422,Regular,1
47453,24087,Regular,1
34033,23919,Regular,0
99467,24058,Regular,0
99355,23924,Regular,0
78704,16884,Regular,0
31198,22938,Regular,0
82601,13034,Regular,0
77460,18268,Regular,0
120787,22581,Regular,1
82655,18872,Regular,1
62299,23995,Regular,1
107961,21540,Regular,0
78223,12173,Regular,1
93958,23775,Regular,0
100980,23973,Regular,0
15401,22701,Regular,1
45133,24025,Regular,0
120775,23852,Regular,1
120776,23730,Regular,0
120777,23731,Regular,0
120778,23730,Regular,0
120779,23731,Regular,0
120780,23730,Regular,0
