route_id,route_short_name,route_long_name,route_type,agency_id
12015,558P,Redhills TO Ponneri,3,69
19862,35 CT1,Ayanavaram B.T TO Korattur,3,69
23830,164 CT3,Perambur Bus Terminus TO M.K.B.Nagar,3,69
17942,57,Redhills B.S TO Moolakadai,3,69
8917,104C,Thyagaraya Nagar TO Kilambakkam B.S,3,69
19863,35 CT2,Korattur TO Ayanavaram B.T,3,69
22450,7M CT2,Doveton TO Island ground,3,69
12432,61K,Kanniamman Nagar TO Avadi B.T,3,69
23831,202 CT3,Poonamalle B.T TO Poonamallee Depot EV,3,69
15949,24A,Anna Nagar West TO M.G.R.Koyambedu,3,69
18989,V51CT,Medavakkam Bus Terminus to Saidapet,3,69
23832,21C CT6,Kannagi Nagar TO  Little Mount,3,69
11974,558B,Ponneri TO Redhills,3,69
11980,558B,Redhills TO Ponneri,3,69
11970,558B,Avurivakkam TO Redhills,3,69
11976,558B,Redhills TO Avurivakkam,3,69
23833,21G CT11,Central Depot TO  Island ground,3,69
15948,7M,J J Nagar West Terminus TO Nolambur Sakthinagar Bus Stop,3,69
23834,21G CT12,Island ground TO  Central Depot,3,69
23835,21P CT2,NGO Colony TO  Island ground Terminus,3,69
18995,V51 CT,Chromepet TO Kilambakkam,3,69
23838,25 CT,Poonamallee Terminus TO Poonamallee Depot,3,69
23839,25 CT,Poonamallee Depot TO Poonamallee Terminus,3,69
23841,26 CT15,Central Depot TO  Royapuram terminus,3,69
23842,26 CT16,Royapuram TO Central Depot,3,69
23843,26 CT4,Poonamallee Depot  EV TO Poonamallee,3,69
23844,26 CT9,Poonamallee Terminus TO Poonamallee Depot EV,3,69
23845,49X,Poonamallee TO  Poonamallee Depot,3,69
23847,49X,Poonamallee Depot TO  Poonamallee Terminus,3,69
17770,M88 CT,Porur TO Vadapalani,3,69
17774,45ACt,Saidapet Depot TO Thyagaraya Nagar Bus Depot,3,69
17775,45ACt,Thyagaraya Nagar Bus Depot TO Saidapet Depot,3,69
23848,51 CT20,Saidapet TO Saidapet Depot,3,69
17780,M88 CT,Vadapalani TO Porur,3,69
16672,37,Vallalar Nagar TO Shastri Bhavan,3,69
17214,72,Thiruverkadu TO Poonamallee,3,69
17215,72,Poonamallee TO Thiruverkadu,3,69
23852,51 CT5,Chrompet TO 2 Depot TO Tambaram West Bus Stand,3,69
11471,48B,Ambattur I.E TO Pudur,3,69
11473,48B,Ayanavaram B.T TO Vallalar Nagar,3,69
16661,37,Poonamallee B.T TO Shastri Bhavan,3,69
16657,37,Poonamallee B.T TO Tondiarpet,3,69
16663,37,Shastri Bhavan TO Poonamallee B.T,3,69
15960,19A,Adyar B.S TO Semmancheri B.S,3,69
11688,525,Vadapalani TO Iyyappanthangal,3,69
17787,159,Annanagar East TO M.G.R.Koyambedu,3,69
17789,22,Korattur Bus Terminus TO Anna Square,3,69
11490,47D,Ambattur I.E TO Kilambakkam B.T,3,69
11930,557C,Gummidipoondi TO Kallur,3,69
11939,557C,Redhills TO Padiyanallur,3,69
11940,557C,Redhills TO Vallalar Nagar,3,69
11941,557C,Vallalar Nagar TO Redhills,3,69
19031,583A CT1,Poonamallee B.T TO Thiruvallur,3,69
11243,37Ct,Dasarathapuram TO Vadapalani,3,69
11246,37Ct,Vadapalani TO Dasarathapuram,3,69
12137,57X,M.K.B.Nagar TO Vallalar Nagar,3,69
12138,57X,Periyapalayam TO Redhills,3,69
23856,578 CT,Poonamallee Depot TO Poonamallee Terminus,3,69
17409,159,Thiruverkadu Terminus TO Vadapalani Bus Stand,3,69
23857,578 CT,Poonamallee Terminus TO Poonamallee Depot,3,69
15982,S24,Thiruverkadu TO Iyyappanthangal,3,69
23858,583 CT1,Poonamallee Bus Terminus TO Poonamallee Depot EV,3,69
12463,66P,Kundrathur B.T TO Kilambakkam B.T,3,69
8580,19T,Adyar B.S TO Kovalam,3,69
12592,70LCt,Ambattur I.E TO Korattur,3,69
17791,159,M.G.R.Koyambedu TO Annanagar East,3,69
19038,66P CT5,Airport TO Kilambakkam,3,69
10580,104G,Kilambakkam B.T TO Ambattur I.E,3,69
