route_id,route_short_name,route_long_name,route_type,agency_id
23766,5B,Mylapore TO Thiyagarayanagar,3,69
17712,45A,Vivekananda House TO N.G.O.Colony,3,69
23768,G18,Thyagaraya Nagar TO Guduvanchery,3,69
20536,7H CT1,Anna Nagar West TO J.J.Nagar East,3,69
23769,G18,Guduvanchery TO Thyagaraya Nagar,3,69
17713,M88 ct1,Amarambedu East TO Vadapalani,3,69
17304,570,Velachery TO M.G.R.Koyambedu,3,69
23770,M51,Thyagaraya Nagar TO Prathyangira Devi Temple,3,69
23771,597A R1,Thiruvallur TO Poonamallee B.T,3,69
17311,570,M.G.R.Koyambedu TO Velachery,3,69
15096,29E,Perambur B.T TO Otteri,3,69
18884,S17,Adyar B.T TO Mandaveli,3,69
18885,49K CT,Iyyappanthangal TO Mandaveli,3,69
17715,515A,Tambaram West TO Mamallapuram,3,69
11610,515A,Kovalam TO Tambaram West,3,69
18887,46G CT3,Vyasarpadi (Depot) TO M.K.B.Nagar,3,69
20541,7H CT5,J.J.Nagar East TO Anna Nagar West,3,69
18888,46G,M.K.B.Nagar TO M.G.R.Koyambedu,3,69
18889,57X CT1,Vyasarpadi TO Vallalar Nagar,3,69
10517,188K,Katrambakkam TO Iyyappanthangal,3,69
18893,57X CT3,Redhills TO Periyapalayam,3,69
15108,29A,Secretariat TO Anna Square,3,69
18895,57X CT4,Vallalar Nagar TO Vyasarpadi,3,69
11619,515A,Thiruporur TO Tambaram West,3,69
17719,579A,Nehru Nagar TO Walajabad,3,69
10526,104A,M.G.R.Koyambedu TO Avadi B.T,3,69
15890,120A,Ambattur Industrial Estate TO Avadi Bus Terminus,3,69
15893,202X,Avadi Bus Terminus TO Tambaram West Bus Stand,3,69
11690,51X,Kilambakkam B.T TO Tambaram West,3,69
17284,142,Broadway TO Vinayagapuram,3,69
12154,579A,Oragadam TO Tambaram Sanatorium,3,69
10515,188K,Iyyappanthangal TO Thyagaraya Nagar,3,69
15895,57M,Alamathi TO Redhills,3,69
17288,142,Perambur TO Padiyanallur,3,69
12156,579A,Tambaram Sanatorium TO Oragadam,3,69
13072,J51,Venkadamangalam TO N.G.O.Colony,3,69
11083,31A,Tambaram West TO Agaramthen,3,69
12165,579A,Walajabad TO Nehru Nagar,3,69
13074,G18,Cement Road TO Kilambakkam B.T,3,69
13080,G18,Thyagaraya Nagar TO Cement Road,3,69
18905,70G,Guduvanchery TO Vadapalani B.T,3,69
23774,19A R2,Thyagaraya Nagar TO Semmancheri S.C.B,3,69
23775,104C R2,M.G.R.Koyambedu TO Kilambakkam B.T,3,69
17276,121,Tondiarpet TO Minjur,3,69
10522,104A,Avadi B.T TO Tambaram West,3,69
10520,188K,Katrambakkam TO Thyagaraya Nagar,3,69
23776,104C R1,Kilambakkam B.T TO M.G.R.Koyambedu,3,69
23777,19BEt,Thaiyur Koman Nagar TO Thyagaraya Nagar,3,69
17724,170Tx,Kilambakkam B.S TO Moolakadai,3,69
17725,77T,Thirumullaivoyal Colony TO Ambattur I.E,3,69
10525,188K,Thyagaraya Nagar TO Katrambakkam,3,69
10251,102C,Broadway TO Semmancheri S.C.B,3,69
19832,1C CT1,Ennore Bus Depot TO Thiruvanmiyur Bus Stand,3,69
18911,147A,J.J.Nagar East TO Thyagaraya Nagar,3,69
20549,7M CT6,J.J.Nagar West TO Anna Nagar West,3,69
11698,51X,Velachery B.T TO Kilambakkam B.T,3,69
11700,51X,Velachery B.T TO N.G.O.Colony,3,69
15109,29A,Perambur B.T TO Secretariat,3,69
23779,147C CT4,Thyagaraya Nagar TO Ambattur O.T,3,69
23780,147C CT2,Ambattur O.T TO Thyagaraya Nagar,3,69
10529,104A,Tambaram West TO Avadi B.T,3,69
18916,29E,Thiruverkadu TO Perambur B.T,3,69
17730,B70Ct,Devik Eswari Nagar TO Guindy Tvk Estate,3,69
13315,S26,Valasaravakkam TO Ashok Nagar Metro R.S,3,69
13317,S26,Valasaravakkam TO Ashok Pillar,3,69
13318,S26,Valasaravakkam TO K.K.Nagar,3,69
13371,S36,D.M.S. Metro TO Nungambakkam R.S,3,69
13372,S36,Nungambakkam R.S TO Thyagaraya Nagar,3,69
13373,S36,Nungambakkam R.S TO D.M.S. Metro,3,69
17263,66,Poonamallee Terminus TO Kilambakkam Bus Terminus,3,69
16268,70V,M.G.R.Koyambedu TO Vadapalani,3,69
13321,S20,D.L.F. TO Ashok Nagar Metro R.S,3,69
23783,18A CT13,Kilambakkam to M.G.R.Koyambedu,3,69
17739,570,K.K.Nagar TO M.M.B.T,3,69
23784,18A CT13,M.G.R.Koyambedu to Kilambakkam,3,69
17431,102CT,Thiruvanmiyur TO Kelambakkam,3,69
17261,66,Poonamallee B.T TO Tambaram West,3,69
13310,S19,Keelkattalai TO Kumaran Kundram,3,69
13313,S19,Kumaran Kundram TO Keelkattalai,3,69
